root,definition
['ἥλιο/'],"['ἥλιος', 'ἡλίου']"
['ἡμέρα/'],"['ἡμέρηἡμέρα', 'ἡμέρηςἡμέρας']"
['αὐτημερό/'],"['αὐτημερόςαὐθημερός', 'αὐτημερόναὐθημερόν']"
['ἥμισυ/'],"['ἥμισυς', 'ἡμίσεια', 'ἥμισυ']"
['ἠό/'],"['ἠώςἔως', 'ἠοῦςἔως']"
['ἥσσον/'],"['ἥσσωνἥττων', 'ἧσσονἧττον']"
['ἑσσο/'],"['ἑσσόομαι', 'ἕσσωμαι', 'ἑσσώθην']"
['ἡσυχία/'],"['ἡσυχίηἡσυχία', 'ἡσυχίηςἡσυχίας']"
['θάλασσα/'],"['θάλασσαθάλαττα', 'θαλάσσηςθαλάττης']"
['θαλάσσιο/'],"['θαλάσσιοςθαλάττιος', 'θαλασσίηθαλαττία', 'θαλάσσιονθαλάττιον']"
['θαν/'],"['θνήσκω', 'θανεομαι', 'ἔθανον', 'τέθνηκα']"
['ἀθάνατο/'],"['ἀθάνατος', 'ἀθάνατον']"
['θάνατο/'],"['θάνατος', 'θανάτου']"
['θαύματ/'],['θώματ']
['θε/'],"['τίθημι', 'θήσω', 'ἔθηκα', 'τέθηκα', 'τέθειμαι', 'ἐτέθην']"
['ἔσθητ/'],"['ἐσθής', 'ἐσθῆτος']"
['θήκα/'],"['θήκη', 'θήκης']"
['νομοθέτα/'],"['νομοθέτης', 'νομοθέτου']"
['θεα/'],"['θεάομαι', 'θεάσομαι', 'ἐθεασάμην', 'τεθέαμαι']"
['θεά/'],"['θεήθεά', 'θεῆςθεᾶς']"
['θεό/'],"['θεός', 'θεοῦ']"
['θεομαχε/'],"['θεομαχέω', 'θεομαχήσω']"
['θεραπευ/'],"['θεραπεύω', 'θεραπεύσω', 'ἐθεράπευσα', 'τεθεράπευμαι', 'ἐθεραπεύθην']"
['θεράποντ/'],"['θεράπων', 'θεράποντος']"
['θέρεσ/'],"['θέρος', 'θέρεοςθέρους']"
['θηλαδ/'],"['θηλάζω', 'θηλάσω', 'ἐθήλαξα', 'τεθήλακα', 'ἐθηλάσθην']"
['θησαυρό/'],"['θησαυρός', 'θησαυροῦ']"
['θησαυριδ/'],"['θησαυρίζω', 'θησαυρίσω', 'ἐθησαύρισα', 'τεθησαύρικα', 'τεθησαύρισμαι', 'ἐθησαυρίσθην']"
['θρόνο/'],"['θρόνος', 'θρόνου']"
['θυ/'],"['θύω', 'θύσω', 'ἔθυσα', 'τέθυκα', 'τέθυμαι', 'ἐτύθην']"
['ἀπρόθυμο/'],"['ἀπρόθυμος', 'ἀπρόθυμον']"
['ἐπιθυμία/'],"['ἐπιθυμίηἐπιθυμία', 'ἐπιθυμίηςἐπιθυμίας']"
"['ἐν/', 'θυμε/']","['ἐνθυμέω', 'ἐνθυμήσω', 'ἐνεθύμησα', 'ἐντεθύμηκα']"
['θυμό/'],"['θυμός', 'θυμοῦ']"
['θυμο/'],"['θυμόω', 'θυμώσομαι', 'ἐθυμωσάμην', 'τεθύμωμαι', 'ἐθυμώθην']"
['θυγάτερ/'],"['θυγάτηρ', 'θυγατρός']"
['θύρα/'],"['θύρηθύρα', 'θύρηςθύρας']"
['θυσία/'],"['θώματ', 'θαύματ']"
['θωματ/'],"['θωμαζωθαυμαζω', 'θωμασομαιθαυμασομαι', 'εθώμασαεθαυμασα', 'τεθώμακατεθαυμακα', 'τεθώμασμαιτεθαυμασμαι', 'εθωμασθηνεθαυμασθην']"
"['ἰ/', 'ῑ/']",['εἶμι']
"['συν/', 'ιδ/']","['ἱδ', 'σιδ', 'κατά']"
"['κατ/', 'ἱδ/']","['κατίζωκαθίζω', 'κατίσωκαθιέω', 'κάτισαἐκάθισα']"
['ἴδιο/'],"['ἴδιος', 'ἰδίηἰδία', 'ἴδιον']"
['ἱερό/'],['ἱρό']
['ἱερέϝ/'],['ἱρέϝ']
['ἰθέσ/'],['εὐθέσ']
['ἱκ/'],"['ἱκνέομαι', 'ἱξομαι', 'ἱκόμην', 'ἷγμαι']"
['ἱκετευ/'],"['ἱκετεύω', 'ἱκετεύσω', 'ἱκέτευσα']"
['ἱμάτιο/'],"['ἱμάτιον', 'ἱματίου']"
['ἵππο/'],"['ἵππος', 'ἵππου']"
['ἱππέϝ/'],"['ἱππεύς', 'ἱππέοςἱππέως']"
['ἱρό/'],"['ἱρόςἱερός', 'ἱράἱερά', 'ἱρόνἱερόν']"
['ἱρέϝ/'],"['ἱρεύςἱερεύς', 'ἱρήοςἱερέως']"
['ἰσθμό/'],"['ἰσθμός', 'ἰσθμοῦ']"
['ἴσο/'],"['ἴσος', 'ἴση', 'ἴσον']"
['καθευδ/'],"['κατεύδωκαθεύδω', 'κατευδήσωκαθευδήσω']"
['κακό/'],"['κακός', 'κακή', 'κακόν']"
['κακότητ/'],"['κακότης', 'κακότητος']"
['καλε/'],"['καλεω', 'καλεω', 'εκαλεσα', 'κεκληκα', 'κεκλημαι', 'εκληθην']"
['κλέεσ/'],['κλέος']
['καλό/'],"['καλός', 'καλή', 'καλόν']"
['κάλλιον/'],"['καλλίων', 'κάλλιον']"
['κάλλιστο/'],"['κάλλιστος', 'καλλίστη', 'κάλλιστον']"
['καπηλείο/'],"['καπηλεῖον', 'καπηλείου']"
['καταρρωδε/'],['καταρρωδέωκατορρωδέω']
['κει/'],"['κεῖμαι', 'κείσομαι']"
"['κατα/', 'κοιμα/']","['κατακοιμάω', 'κατακοιμήσω', 'κατεκοίμησα', 'κατακεκοίμημαι', 'κατεκοιμήθην']"
['κελευ/'],"['κελεύω', 'κελεύσω', 'ἐκέλευσα', 'κεκέλευκα', 'κεκέλευμαι', 'ἐκελεύθην']"
['κεραϊδ/'],"['κεραΐζω', 'κεραΐξω', 'ἐκεράϊσα']"
['κέρδεσ/'],"['κέρδος', 'κέρδεοςκέρδους']"
['κεφαλά/'],"['κεφαλή', 'κεφαλῆς']"
['κηδ/'],"['κήδω', 'κηδήσω', 'ἐκήδησα', 'κέκηδα']"
['κήρ/'],"['κῆρ', 'κηρός']"
['κήρυκ/'],"['κῆρυξ', 'κήρυκος']"
"['ἐπι/', 'κηρυκ/']","['ἐπικηρύσσωἐπικηρύττω', 'ἐπικηρύξω', 'ἐπεκήρυξα', 'ἐπικεκήρυχα', 'ἐπικεκήρυγμαι', 'ἐπεκηρύχθην']"
['κινδυνευ/'],"['κινδυνεύω', 'κινδυνεύσω', 'ἐκινδύνευσα', 'κεκινδύνευκα', 'κεκινδύνευμαι', 'ἐκινδυνεύθην']"
['κίνδυνο/'],"['κίνδυνος', 'κινδύνου']"
['κλαϝ/'],"['κλάω', 'κλαίω', 'κλαήσω', 'κλαιήσω', 'ἔκλαυσα', 'κέκλαυσμαι', 'κέκλαυμαι']"
['κλεπ/'],"['κλεπτω', 'κλεψω', 'ἐκλεψα', 'κεκλοφα', 'κεκλεμμαι', 'εκλαπην']"
['κλεπτά/'],"['κλεπτής', 'κλεπτοῦ']"
['κληϊ/'],"['κληΐωκλείω', 'κληΐσωκλείσω', 'ἐκλήϊσαἔκλεισα', 'κεκλήϊκακέκλεικα', 'κεκήϊμαικέκλειμαι', 'ἐκληΐσθηνἐκλείσθην']"
['κλείδ/'],"['κλείς', 'κλεῖδος']"
['κλῖμακ/'],"['κλῖμαξ', 'κλίμακος']"
['κλίνα/'],"['κλίνη', 'κλίνης']"
['κολωνό/'],"['κολωνός', 'κολωνοῦ']"
['κόμα/'],"['κόμη', 'κόμης']"
['κομιδ/'],"['κομιζω', 'κομίσωκομιεω', 'εκομισα', 'κεκομικα', 'κεκομισμαι', 'εκομισθην']"
['κοπ/'],"['κοπτω', 'κοψω', 'ἐκοψα', 'κεκοφα', 'κεκομμαι', 'ἐκοπην']"
['κόρυμβο/'],"['κόρυμβος', 'κορύμβου']"
['κόσμο/'],"['κόσμος', 'κόσμου']"
['ἄκοσμο/'],"['ἄκοσμος', 'ἄκοσμον']"
['κοσμε/'],"['κοσμέω', 'κοσμήσω', 'ἐκόσμησα', 'κεκόσμηκα', 'κεκόσμημαι', 'ἐκοσμήθην']"
['κόσμιο/'],"['κόσμιος', 'κοσμίηκοσμία', 'κόσμιον']"
['κρατε/'],"['κρατεω', 'κρατησω', 'εκρατησα', 'κεκρατηκα', 'κεκρατημαι', 'εκρατηθην']"
['κρείσσον/'],"['κρείσσωνκρείττων', 'κρεῖσσονκρεῖττον']"
['κρεμα/'],"['κρεμάννυμι', 'κρεμέω', 'κρεμάσω', 'ἐκρέμασα', 'κεκρέμακα', 'κεκρέμαμαι', 'ἐκρεμάσθην']"
['κρόμμυο/'],"['κρόμμυον', 'κρομμύου']"
['κρόσσα/'],"['κρόσσαι', 'κρόσσων']"
['κρυβ/'],"['κρυπτω', 'κρυψω', 'ἐκρυψα', 'κεκρυμμαι', 'εκρυφθην']"
['κτεν/'],"['κτείνω', 'κτενέω', 'ἔκτεινα', 'ἔκτονα']"
['κτενιδ/'],"['κτενίζω', 'ἐκτένισα', 'ἐκτένισμαι', 'ἐκτενίσθην']"
['κτήνεσ/'],"['κτῆνος', 'κτήνεοςκτήνους']"
['κυβευ/'],"['κυβεύω', 'κυβεύσω', 'ἐκύβευσα', 'κεκύβευκα']"
['κυρε/'],"['κυρέω', 'κύρσω', 'ἔκυρσα']"
['κύριο/'],"['κύριος', 'κυρίηκυρία', 'κύριον']"
['κώλο/'],"['κῶλον', 'κώλου']"
['κωλυ/'],"['κωλύω', 'κωλύσω', 'ἐκώλυσα', 'κεκώλυκα', 'κεκώλυμαι', 'ἐκωλύθην']"
['λαβ/'],"['λαμβανω', 'ληψομαι', 'ἐλαβον', 'εἰληφα', 'εἰλημμαι', 'εληφθην']"
['λαθ/'],"['λανθανω', 'λησω', 'ἐλαθον', 'λεληθα', 'λελησμαι']"
['ἀληθέσ/'],"['ἀληθής', 'ἀληθές']"
['ἀλήθεια/'],"['ἀληθείηἀλήθεια', 'ἀληθείηςἀληθείας']"
['λαό/'],"['λαός', 'ληόςλεώς', 'λαοῦ']"
['λαχ/'],"['λαγχάνω', 'λήξομαι', 'ἔλαχον', 'εἴληχα', 'εἴληγμαι', 'ἐλήχθην']"
['λεγ/'],"['λέγω', 'λέξω', 'ἐρέω', 'ἔλεξα', 'εἶπον', 'εἴρηκα', 'λέλεγμαι', 'εἴρημαι', 'ἐλέχθην', 'ἐρρήθην']"
['ἀλογία/'],"['ἀλογίηἀλογία', 'ἀλογίηςἀλογίας']"
['λογιδ/'],"['λογίζομαι', 'λογίσομαιλογιέομαι', 'ἐλογισάμην', 'λελόγισμαι']"
['ὁμολογε/'],"['ὁμολογέω', 'ὁμολογήσω', 'ὡμολόγησα', 'ὡμολόγηκα', 'ὡμολόγημαι', 'ὡμολογήθην']"
['λεγ/'],"['λέγω', 'λέξω', 'ἔλεξα', 'εἴλοχα', 'εἴλεγμαι', 'λέλεγμαι', 'ἔλεγην', 'ἐλέχθην']"
['λέοντ/'],"['λέων', 'λέοντος']"
['ληγ/'],"['λήγω', 'λήξω', 'ἔληξα']"
['λίθο/'],"['λίθος', 'λίθου']"
['λίθινο/'],"['λίθινος', 'λιθίνη', 'λίθινον']"
['λιθοτομία/'],"['λιθοτομίηλιθοτομία', 'λιθοτομίηςλιθοτομίας']"
['λιπ/'],"['λείπω', 'λείψω', 'ἔλιπον', 'λέλοιπα', 'λέλειμμαι', 'ἐλείφθην']"
['ἐπίλοιπο/'],"['ἐπίλοιπος', 'ἐπίλοιπον']"
['λοιπό/'],"['λοιπός', 'λοιπή', 'λοιπόν']"
['λοιδορε/'],"['λοιδορέω', 'λοιδορήσω', 'ἐλοιδόρησα', 'λελοιδόρηκα', 'ἐλοιδορήθην']"
['λοιδορία/'],"['λοιδορία', 'λοιδορίας']"
['λου/'],"['λούω', 'λούσομαι', 'ἔλουσα', 'λέλουκα', 'λέλουμαι', 'ἐλούθην']"
['λόφο/'],"['λόφος', 'λόφου']"
['λυ/'],"['λύω', 'λύσω', 'ἔλυσα', 'λέλυκα', 'λέλυμαι', 'ἐλύθην']"
['λῦκο/'],"['λῦκος', 'λύκου']"
['λύμα/'],"['λύμη', 'λύμης']"
['λυπε/'],"['λυπέω', 'λυπήσω', 'ἐλύπησα', 'λελύπηκα', 'ἐλυπήθην']"
['λύχνο/'],"['λύχνος', 'λύχνου']"
['μαθ/'],"['μανθανω', 'μαθησομαι', 'ἐμαθον', 'μεμαθηκα']"
['μακρό/'],"['μακρός', 'μακρήμακρά', 'μακρόν']"
['μακρά/'],"['μακρήμακρά', 'μακρῆςμακρᾶς']"
['μάντι/'],"['μάντις', 'μάντιοςμάντεως']"
['μάρτυρ/'],"['μάρτυς', 'μάρτυρος']"
['μαρτύριο/'],"['μαρτύριον', 'μαρτυρίου']"
['μάστιγ/'],"['μάστιξ', 'μάστιγος']"
['μαστιγο/'],"['μαστιγόω', 'μαστιγώσω', 'ἐμαστίγωσα', 'μεμαστίγωκα', 'μεμαστίγωμαι', 'ἐμαστιγώθην']"
['μαχ/'],"['μάχομαι', 'μαχέομαι', 'εμαχεσάμην', 'μεμάχημαι']"
['μάχα/'],"['μάχη', 'μάχης']"
['μαχητά/'],"['μαχητής', 'μαχητοῦ']"
['μάχαιρα/'],"['μάχαιρα', 'μαχαίρηςμαχαίρας']"
['ἐμαυτό/'],"['ἐμαυτοῦ', 'ἐμαυτῆς']"
['μέγαν/'],"['μέγας', 'μεγάλη', 'μέγα']"
['μέγαθεσ/'],"['μέγαθος', 'μεγάθεος']"
['μεγάλο/'],"['μεγάλος', 'μεγάλη', 'μεγάλον']"
['μέγιστο/'],"['μέγιστος', 'μεγίστη', 'μέγιστον']"
['μείζον/'],"['μείζων', 'μεῖζον']"
['μεθυ/'],"['μεθύω', 'μεθύσκω', 'ἐμέθυσα', 'ἐμεθύσθην']"
['μελ/'],"['μελω', 'μελησω', 'εμελησα', 'μεμεληκα']"
['μελλ/'],"['μελλω', 'μελλησω', 'εμελλησα']"
['μεν/'],"['μενω', 'μενεω', 'ἐμεινα', 'μεμενηκα']"
['μένεσ/'],"['μένος', 'μένεοςμένους']"
['μέρεσ/'],"['μέρος', 'μέρεοςμέρους']"
['μέσο/'],"['μέσος', 'μέση', 'μέσον']"
['μεστό/'],"['μεστός', 'μεστή', 'μεστόν']"
['μέτρο/'],"['μέτρον', 'μέτρου']"
['μετρε/'],"['μετρέω', 'μετρήσω', 'ἐμέτρησα', 'μεμέτρημαι', 'ἐμετρήθην']"
['μηδέν/'],"['μηδείς', 'μηδεμίημηδεμία', 'μηδέν']"
['μηδιδ/'],"['μηδίζω', 'ἐμήδισα']"
['μήκεσ/'],"['μῆκος', 'μήκεοςμήκους']"
['μήν/'],"['μήν', 'μείς', 'μηνός']"
['τρίμηνο/'],"['τρίμηνος', 'τρίμηνον']"
['μηνυ/'],"['μηνύω', 'μηνύσω', 'ἐμήνυσα', 'μεμήνυκα', 'μεμήνυμαι', 'ἐμηνύθην']"
['μήτερ/'],"['μήτηρ', 'μητρός']"
['μηχανά/'],"['μηχανή', 'μηχανῆς']"
['μηχανα/'],"['μηχανάομαι', 'μηχανήσομαι', 'ἐμηχανησάμην', 'μεμηχάνημαι']"
['μία/'],"['μία', 'μίηςμίας']"
['ουδεμία/'],"['οὐ', 'δὲ', 'μία']"
['μιγ/'],"['μίγνυμι', 'μείγνυμι', 'μείξω', 'ἔμειξα', 'μεμείγμαι', 'ἐμείχθην']"
['μικρό/'],"['μικρός', 'μικρήμικρά', 'μικρόν']"
['μῖσεσ/'],"['μῖσος', 'μίσεοςμίσεως']"
['μισε/'],"['μισέω', 'μισήσομαι', 'ἐμίσησα', 'μεμίσηκα', 'μεμίσημαι', 'ἐμισήθην']"
['μίτρα/'],"['μίτρημίτρα', 'μίτρηςμίτρας']"
['μνα/'],"['μιμνήσκω', 'μνήσω', 'ἔμνησα', 'μέμνημαι', 'ἐμνήσθην']"
['μνημήϊο/'],"['μνημήϊονμνημεῖον', 'μνημηΐουμνημείου']"
['μοίρα/'],"['μοῖρα', 'μοίρηςμοίρας']"
['μοιχό/'],"['μοιχός', 'μοιχοῦ']"
['μοιχεία/'],"['μοιχεία', 'μοιχείας']"
['μοιχευ/'],"['μοιχεύω', 'μοιχεύσω', 'ἐμοίχευσα', 'μεμοίχευκα', 'μεμοίχευμαι', 'ἐμοιχεύθην']"
['μολ/'],"['βλώσκω', 'μολέομαι', 'ἔμολον', 'μέμβλωκα']"
['αὐτόμολο/'],"['αὐτόμολος', 'αὐτόμολον']"
['μόνο/'],"['μοῦνοςμόνος', 'μούνημόνη', 'μοῦνονμόνον']"
['μουνογενέσ/'],"['μουνογενής', 'μουνογενές']"
['μούνο/'],['μόνο']
['μῦθο/'],"['μῦθος', 'μύθου']"
"['παρα/', 'μυθε/']","['παραμυθέομαι', 'παραμυθήσομαι', 'παρεμυθησάμην']"
['μυλών/'],"['μυλών', 'μυλῶνος']"
['μυριάδ/'],"['μυριάς', 'μυριάδος']"
['νείκεσ/'],"['νεῖκος', 'νείκεοςνείκους']"
['νεκρό/'],"['νεκρός', 'νεκροῦ']"
['νέκυ/'],"['νέκυς', 'νέκυος']"
['νεμ/'],"['νέμω', 'νεμέω', 'ἔνειμα', 'νενέμηκα', 'νενέμημαι', 'ἐνεμήθην']"
['εὐνομία/'],"['εὐνομίηεὐνομία', 'εὐνομίηςεὐνομίας']"
['νομιδ/'],"['νομιζω', 'νομίσωνομιεω', 'ενομισα', 'νενομικα', 'νενομισμαι', 'ενομισθην']"
['νόμο/'],"['νόμος', 'νόμου']"
['νέο/'],"['νέος', 'νέηνέα', 'νέον']"
['νεανίσκο/'],"['νεανίσκος', 'νεανίσκου']"
['νήσο/'],"['νῆσος', 'νήσου']"
['νικα/'],"['νικαω', 'νικήσω', 'ἐνίκησα', 'νενίκησα', 'νενίκημαι', 'ἐνικήθην']"
['νίκα/'],"['νίκη', 'νίκης']"
['νόο/'],"['νόοςνοῦς', 'νόουνοῦ']"
['νοε/'],"['νοέω', 'νοέομαι', 'ἔνωσαἐνόησα', 'νένωκανενόηκα', 'νένωμαινενόημαι', 'ἐνοήθην']"
['νοστε/'],"['νοστέω', 'νοστήσω', 'ἐνόστησα']"
['νότο/'],"['νότος', 'νότου']"
['νύκτ/'],"['νύξ', 'νυκτός']"
['νώτο/'],"['νῶτος', 'νώτου', 'νῶτον', 'νώτου']"
['ξε/'],"['ξέω', 'ἔξεσα', 'ἔξεσμαι']"
['ἀντιξόο/'],"['ἀντίξόοςἀντίξους', 'ἀντίξοονἀντίξουν']"
['ξεστό/'],"['ξεστός', 'ξεστή', 'ξεστόν']"
['ξένο/'],['ξείνο']
['ξείνο/'],"['ξεῖνοςξένος', 'ξείνηξένη', 'ξεῖνονξένον']"
['ξεινία/'],"['ξεινίηξενία', 'ξεινίηςξενίας']"
['ξίφεσ/'],"['ξίφος', 'ξίφεοςξίφους']"
['ξύλο/'],"['ξύλον', 'ξύλου']"
['ξυρε/'],"['ξυρέω', 'ξυρήσω', 'ἐξύρησα', 'ἐξύρηκα', 'ἐξύρημαι', 'ἐξυρήθην']"
"['ὁ/', 'τό/']",[]
"['ὁ/', 'τό/']","['ὅδε', 'ἥδε', 'τόδε']"
"['ὅ/', 'τό/']","['ὅς', 'ἥ', 'τόὅ']"
['ὁδό/'],"['ὁδός', 'ὁδοῦ']"
['πρόσοδο/'],['οἱ']
['οἰ/'],"['φερ', 'ἐνεκ']"
['οἰγ/'],"['οἴγω', 'οἴγνυμι', 'οἴξω', 'ἔῳξα', 'ἔῳχα', 'ἔῳγμαι', 'ἐῴχθην']"
['οἴκο/'],"['οἶκος', 'οἴκου']"
['οἰκε/'],"['οικεω', 'οικησω', 'ὤκησα', 'ὤκηκα', 'ὤκημαι', 'ὠκηθην']"
['οἰκείο/'],"['οἰκεῖος', 'οἰκείηοἰκεία', 'οἰκεῖον']"
['οἰκειότητ/'],"['οἰκειότης', 'οἰκειότητος']"
['οἴκηματ/'],"['οἴκημα', 'οἰκήματος']"
['οἰκήτορ/'],"['οἰκήτωρ', 'οἰκήτορος']"
['οἰκία/'],"['οἰκίηοἰκία', 'οἰκίηςοἰκίας']"
['οἰκιδ/'],"['οἰκίζω', 'οἰκίσωοἰκιέω', 'ᾤκισα', 'ᾤκικα', 'ᾤκισμαι', 'ᾠκίσθην']"
['οἰκίδιο/'],"['οἰκίδιον', 'οἰκιδίου']"
['οἰκοδομε/'],"['οἰκοδομέω', 'οἰκοδομήσω', 'ᾠκοδόμησα', 'ᾠκοδόμηκα', 'ᾠκοδόμημαι', 'ᾠκοδομήθην']"
['οἰκτιδ/'],"['οἰκτίζω', 'οἰκτιέω', 'ᾤκτισα']"
['ϝοίνο/'],"['οἶνος', 'οἴνου']"
['παροινία/'],"['παροινία', 'παροινίας']"
['οἰο/'],"['οἴομαι', 'οἶμαι', 'οἰήσομαι', 'ᾠήθην']"
['οἵο/'],"['οἷος', 'οἵηοἵα', 'ἷον']"
"['οἵο/', 'ἐσ/']","['ὁκοίο', 'ὁποίο']"
['τοιό/'],"['τοιόσδε', 'τοιήδε', 'τοιόνδε']"
['τοιούτο/'],"['τοιοῦτος', 'τοιαύτη', 'τοιοῦτο']"
['ὀΐστευματ/'],"['ὀΐστευμα', 'ὀϊστεύματος']"
['οἰχ/'],"['οἴχομαι', 'οἰχήσομαι', 'ᾤχωκα', 'ᾤχημαι']"
['ὀλ/'],"['ὄλλυμι', 'ὀλέω', 'ὤλεσα', 'ὄλωλα', 'ὀλώλεκα']"
['ὀλίγο/'],"['ὀλίγος', 'ὀλίγη', 'ὀλίγον']"
['ὅλο/'],"['ὅλος', 'ὅλη', 'ὅλον']"
['ὅμηρο/'],"['ὅμηρος', 'ὁμήρου']"
['ὅμο/'],"['ὅμος', 'ὅμη', 'ὅμον']"
['ὁμιλε/'],"['ὁμιλέω', 'ὁμιλήσω', 'ὡμίλησα']"
['ὅμιλο/'],"['ὅμιλος', 'ὁμίλου']"
['ὁμοίο/'],"['ὁμοῖος', 'ὁμοίηὁμοία', 'ὁμοῖον']"
['ὁμόφυλο/'],"['ὁμόφυλος', 'ὁμόφυλον']"
['ὄνειδεσ/'],"['ὄνειδος', 'ὀνείδεοςὀνείδους']"
['ὄνο/'],"['ὄνος', 'ὄνου']"
['ὄνοματ/'],"['οὔνομαὄνομα', 'οὐνόματοςὀνόματος']"
['ὀνομαστό/'],"['ὀνομαστός', 'ὀνομαστή', 'ὀνομαστόν']"
['ὀνοματ/'],"['ὀνομάζω', 'ὀνομάσω', 'ὠνόμασα', 'ὠνόμακα', 'ὠνόμασμαι', 'ὠνομάσθην']"
['μέτωπο/'],"['μέτωπον', 'μετώπου']"
['ὀφθαλμό/'],"['ὀφθαλμός', 'ὀφθαλμοῦ']"
['ὄψι/'],"['ὄψις', 'ὄψιοςὄψεως']"
['πρόσωπο/'],"['πρόσωπον', 'προσώπου']"
['ὑποπτευ/'],['ὑποπτεύω']
['ὑποψία/'],"['ὑποψίηὑποψία', 'ὑποψίηςὑποψίας']"
['ὅπλο/'],"['ὅπλον', 'ὅπλου']"
['ὁπλίτα/'],"['ὁπλίτης', 'ὁπλίτου']"
['ὁποδαπό/'],"['ὁποδαπός', 'ὁποδαπή', 'ὁποδαπόν']"
['ὁπότερο/'],['ὅκως']
['ὁρα/'],"['ὁράω', 'ὄψομαι', 'εἶδον', 'ἑόρακα', 'ἑώρακα', 'ἑώραμαι', 'ὦμμαι', 'ὤφθην']"
['ὀργιδ/'],"['ὀργίζω', 'ὀργιέομαι', 'ὤργισα', 'ὤργισμαι', 'ὠργίσθην']"
['ὄργυια/'],"['ὄργυια', 'ὀργυιῆςὀργυιᾶς']"
['ὄρεσ/'],"['ὄρος', 'ὄρεοςὄρους']"
['ὀρθό/'],"['ὀρθός', 'ὀρθή', 'ὀρθόν']"
['ὀρθο/'],"['ὀρθόω', 'ὤρθωσα', 'ὡρθώθην']"
['ὁρμά/'],"['ὁρμή', 'ὁρμῆς']"
['ὁρτά/'],"['ὁρτήἑορτή', 'ὁρτῆςἑορτῆς']"
['ὁρταδ/'],"['ὁρταζωἑορτάζω', 'ἑορτάσω', 'ἑώρτασα']"
['ὄρυγματ/'],"['ὄρυγμα', 'ὀρύγματος']"
['διώρυχ/'],"['διῶρυξ', 'διώρυχος']"
['ὅσο/'],"['ὅσος', 'ὅση', 'ὅσον']"
['τοσούτο/'],"['τοσοῦτος', 'τοσαύτη', 'τοσοῦτο']"
"['ὁ/', 'τιν/']","['οὐ', 'οὐκ', 'οὐχ', 'οὐ', 'οὐκ', 'οὐχ']"
['οὐδέν/'],['ὅτε']
['ὀφελ/'],"['ὀφείλω', 'ὀφειλήσω', 'ὠφείλησα', 'ὤφελον', 'ὠφείληκα', 'ὠφειλήθην']"
['πάγα/'],"['πάγη', 'πάγης']"
['πάγο/'],"['πάγος', 'πάγου']"
['πενθε/'],"['πενθέω', 'πενθήσω', 'ἐπένθησα', 'πεπένθηκα']"
['παίδ/'],"['παῖς', 'παιδός']"
['παιδ/'],"['παίζω', 'παίξω', 'ἔπαισα', 'πέπαικα', 'πέπαιγμαι', 'ἐπαίχθην']"
['παίδιο/'],"['παίδιον', 'παιδίου']"
['παιδίσκα/'],"['παιδίσκη', 'παιδίσκης']"
['παλλακά/'],"['παλλακή', 'παλλακῆς']"
['πάντ/'],"['πᾶς', 'πᾶσα', 'πᾶν']"
['παρήϊδ/'],"['παρηΐς', 'παρηΐδος']"
['παταγ/'],"['πατάσσω', 'πατάξω', 'ἐπάταξα', 'πεπάταγμαι', 'ἐπατάχθην']"
['πάταγο/'],"['πάταγος', 'πατάγου']"
['πατε/'],"['πατέω', 'πατήσω', 'ἐπάτησα', 'πεπάτηκα']"
['πατέρ/'],"['πατήρ', 'πατρός']"
['πάτριο/'],"['πάτριος', 'πάτρια', 'πάτριον']"
['παυ/'],"['παύω', 'παυσω', 'ἐπαυσα', 'πεπαυκα', 'πεπαυμαι', 'επαυθην']"
['πειρα/'],"['πειραω', 'πειράσω', 'ἐπείρασα', 'πεπείρακα', 'πεπείραμαι', 'ἐπειράθην']"
['πεμπ/'],"['πεμπω', 'πεμψω', 'ἐπεμψα', 'πεπομφα', 'πεπεμμαι', 'επεμφθην']"
['πέμπτο/'],"['πέμπτος', 'πέμπτη', 'πέμπτον']"
['περαιο/'],"['περαιόω', 'περαιώσω', 'ἐπεραίωσα', 'ἐπεραιώθην']"
['περθ/'],"['πέρθω', 'πέρσω', 'ἔπερσα', 'ἔπραθον']"
"['πετ/', 'πτ/']","['πίπτω', 'πεσέομαι', 'ἔπεσον', 'πέπτωκα']"
['εὐπετέσ/'],"['εὐπετής', 'εὐπετές']"
['πετα/'],"['πέταμαι', 'πτήσομαι', 'ἐπτόμην', 'ἐπτάμην', 'ἔπτην']"
['πετεινό/'],"['πετεινός', 'πετεινά', 'πετεινόν']"
"['προσ/', 'πται/']","['προσπταίω', 'προσπταίσω', 'προσέπταισα', 'προσέπταικα']"
['πήχυ/'],"['πῆχυς', 'πήχεοςπήχους']"
"['πι/', 'πο/']","['πίνω', 'πίομαι', 'ἔπιον', 'πέπωκα', 'πέπομαι', 'ἐπόθην']"
['πόσι/'],"['πόσις', 'πόσιοςπόσεως']"
['ποτό/'],"['ποτόν', 'ποτοῦ']"
['πιθ/'],"['πείθω', 'πείσω', 'ἔπεισα', 'ἔπιθον', 'πέπεικα', 'πέποιθα', 'πέπεισμαι', 'ἐπείσθην']"
['ἄπιστο/'],"['ἄπιστος', 'ἄπιστον']"
['πιθανό/'],"['πιθανός', 'πιθανή', 'πιθανόν']"
['πιστευ/'],"['πιστευω', 'πιστευσω', 'επιστευσα', 'πεπιστευκα', 'πεπιστευμαι', 'επιστευθην']"
['πίστι/'],"['πίστις', 'πίστιοςπίστεως']"
